Id,Sentiment,Text Tweet
26,0,"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah."
27,0,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter
28,0,ogah nonton lagi saya. Kecewa ama itu film 
29,0,"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget "
30,0,Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu
31,0,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat."
32,0,"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan."
33,0,The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy
34,0,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan."
35,0,Film norak!!!! 
36,0,adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(
37,0,"#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian"
38,0,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual
39,0,karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! 
40,0,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar
41,0,Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.
42,0,"1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+"
43,0,Ini gue nonton film homo aja rumit bener
44,0,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget
45,0,Film macam apa ini? Nonton nya bikin gue menderita -_-
46,0,jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...
47,0,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC "
48,0,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius."
49,0,Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek 
50,0,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas"
51,0,"Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel"
52,0,Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(
53,0,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy
54,0,"Sama, ane juga kecewa ma nih film, padahal udah lama nungguin"
55,0,Ka @selliyamanto udah nonton #MembabiButa? Agak kecewa nonton film tu
56,0,Jenuh nonton film... hambar
57,0,sesal di dada nonton ini film...
58,0,"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY"
59,0,"film jelek, jelas. Ga ada isinya."
60,0,Itu film makin aneh ajaa ?
61,0,"Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih"
62,0,"@askmenfess Film yang bikin emosional, bener-bener nyedot emosi."
63,0,@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka
64,0,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi"
65,0,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5
66,0,"bnyak yg bilang film Mummy jelek, pdahl pengen nonton"
67,0,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini"
68,0,Naruto adalah film paling bodoh ke-8 haha #faktanya #quote
69,0,Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe
70,0,Film e hambar
71,0,"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-"""
72,0,yah kirain film baru wkwk penonton kecewaa
73,0,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih."
74,0,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" .."
75,0,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.
76,0,Ini film apa dah. Baru mulai udh bgni-_- jijk
77,0,"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya."
78,0,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja"
79,0,"Film itu kalau byk di sensor, rasanya g ada, hambar"
80,0,Semoga ga busuk kyk film yg pertama
81,0,Flm apa ini :) arah dan tujuannya nggak jelas.. Nyesel download ! Sabar... Ini ujian ! — menonton Hangout Film
82,0,Hari ini nonton film terasa; hambarr
83,0,Kurang mengerti sama film nya the mummy..
84,0,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu
85,0,"Pernah novel favorit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, team CE serius sama film ini"
86,0,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven"
87,0,Aduh! Film bagian ini jijk parah
88,0,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...
89,0,"Agak kecewa sama film Danur, diluar ekspektasi :("
90,0,Ancur bgt itu film. Jelekk
91,0,Flm nya jelekk bingittsss.
92,0,"Film hangout kok biasa aja sih, malah gak jelas sepertinya. Kecewaa"
93,0,Ternyata ending film kamar 207 jelekk
94,0,Filmnya aja ngehek...... ini seriesnya ngehek juga ga
95,0,Kurang suka sama film #pesbukers cewe2 terllu terbuka penampilannya. Kurang baik klo di tonton anak kecil
96,0,Buried ini film budget termurah dengan tingkat depresi tertinggi
97,0,"lalu setelah film berakhir, mikir ''ngapain nonton film yang isinya anak sma semua..'' terus agak nyesel :("
98,0,"Gila, film Britney Ever After jelek banget parah! Nyesel nonton walau gak sampe abis."
99,0,"Film danur nggak seperti novelnya. Harapan lebih serem ternyata cuman bikin boring. Sorry teh, tapi novelnya lebih bagus :)"
100,0,ga bakal gua nonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex
